Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Baghdad,PM2.5 - Principal,2023-01-01 01:00 AM,2023,01,01,01,93.8,171,Unhealthy,105.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 02:00 AM,2023,01,01,02,75.9,162,Unhealthy,58.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 03:00 AM,2023,01,01,03,58.9,153,Unhealthy,42.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 04:00 AM,2023,01,01,04,51.9,141,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 05:00 AM,2023,01,01,05,49.4,135,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 06:00 AM,2023,01,01,06,47.7,131,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 07:00 AM,2023,01,01,07,48.3,133,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 08:00 AM,2023,01,01,08,48.6,133,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 09:00 AM,2023,01,01,09,52.3,142,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 10:00 AM,2023,01,01,10,60.6,154,Unhealthy,69.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 11:00 AM,2023,01,01,11,63.8,155,Unhealthy,67.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 12:00 PM,2023,01,01,12,59.4,153,Unhealthy,55.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 01:00 PM,2023,01,01,13,60.6,154,Unhealthy,63.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 02:00 PM,2023,01,01,14,58.8,153,Unhealthy,56.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 03:00 PM,2023,01,01,15,56.4,151,Unhealthy,52.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 04:00 PM,2023,01,01,16,54.3,147,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 05:00 PM,2023,01,01,17,53.2,145,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 06:00 PM,2023,01,01,18,54.9,149,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 07:00 PM,2023,01,01,19,58.5,153,Unhealthy,67.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 08:00 PM,2023,01,01,20,63.3,155,Unhealthy,73.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 09:00 PM,2023,01,01,21,66.9,157,Unhealthy,74.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 10:00 PM,2023,01,01,22,72.0,160,Unhealthy,79.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-01 11:00 PM,2023,01,01,23,68.3,158,Unhealthy,62.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 12:00 AM,2023,01,02,00,63.8,155,Unhealthy,56.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 01:00 AM,2023,01,02,01,62.4,155,Unhealthy,60.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 02:00 AM,2023,01,02,02,64.8,156,Unhealthy,69.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 03:00 AM,2023,01,02,03,66.0,156,Unhealthy,68.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 04:00 AM,2023,01,02,04,61.7,154,Unhealthy,54.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 05:00 AM,2023,01,02,05,59.5,153,Unhealthy,54.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 06:00 AM,2023,01,02,06,50.2,137,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 07:00 AM,2023,01,02,07,47.3,130,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 08:00 AM,2023,01,02,08,47.6,131,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 09:00 AM,2023,01,02,09,56.6,152,Unhealthy,67.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 10:00 AM,2023,01,02,10,58.5,153,Unhealthy,63.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 11:00 AM,2023,01,02,11,59.5,153,Unhealthy,61.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 12:00 PM,2023,01,02,12,58.9,153,Unhealthy,58.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 01:00 PM,2023,01,02,13,58.9,153,Unhealthy,59.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 02:00 PM,2023,01,02,14,60.4,154,Unhealthy,63.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 03:00 PM,2023,01,02,15,72.5,160,Unhealthy,84.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 04:00 PM,2023,01,02,16,68.2,158,Unhealthy,64.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 05:00 PM,2023,01,02,17,64.6,156,Unhealthy,61.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 06:00 PM,2023,01,02,18,60.1,153,Unhealthy,55.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 07:00 PM,2023,01,02,19,64.6,156,Unhealthy,70.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 08:00 PM,2023,01,02,20,69.2,158,Unhealthy,78.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 09:00 PM,2023,01,02,21,77.7,162,Unhealthy,90.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 10:00 PM,2023,01,02,22,85.5,166,Unhealthy,95.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-02 11:00 PM,2023,01,02,23,87.0,167,Unhealthy,89.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-03 12:00 AM,2023,01,03,00,90.3,169,Unhealthy,95.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-03 01:00 AM,2023,01,03,01,91.0,169,Unhealthy,92.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-03 02:00 AM,2023,01,03,02,86.4,167,Unhealthy,80.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-03 03:00 AM,2023,01,03,03,84.5,166,Unhealthy,82.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-03 04:00 AM,2023,01,03,04,74.2,161,Unhealthy,60.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-03 05:00 AM,2023,01,03,05,61.0,154,Unhealthy,49.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-03 06:00 AM,2023,01,03,06,57.1,152,Unhealthy,53.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-03 07:00 AM,2023,01,03,07,57.0,152,Unhealthy,57.0,UG/M3,1 Hr,Valid
Baghdad,PM2.5 - Principal,2023-01-03 08:00 AM,2023,01,03,08,60.4,154,Unhealthy,64.0,UG/M3,1 Hr,Valid
