Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Amman,PM2.5 - Principal,2022-10-19 06:00 PM,2022,10,19,18,-999.0,-999,N/A,5.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-19 07:00 PM,2022,10,19,19,5.5,23,Good,6.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-19 08:00 PM,2022,10,19,20,5.7,24,Good,6.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-19 09:00 PM,2022,10,19,21,6.2,26,Good,7.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-19 10:00 PM,2022,10,19,22,5.8,24,Good,5.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-19 11:00 PM,2022,10,19,23,6.2,26,Good,7.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-20 12:00 AM,2022,10,20,00,6.1,25,Good,6.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-20 01:00 AM,2022,10,20,01,6.0,25,Good,6.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-20 02:00 AM,2022,10,20,02,5.1,21,Good,4.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-20 03:00 AM,2022,10,20,03,6.5,27,Good,8.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-20 04:00 AM,2022,10,20,04,6.2,26,Good,6.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-20 05:00 AM,2022,10,20,05,5.6,23,Good,5.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-20 06:00 AM,2022,10,20,06,5.3,22,Good,5.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-20 07:00 AM,2022,10,20,07,5.6,23,Good,6.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-20 08:00 AM,2022,10,20,08,6.3,26,Good,7.0,UG/M3,1 Hr,Valid
Amman,PM2.5 - Principal,2022-10-20 09:00 AM,2022,10,20,09,5.6,23,Good,5.0,UG/M3,1 Hr,Valid
