Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abu Dhabi,O3,2022-10-26 10:00 PM,2022,10,26,22,46.0,43,Good,49.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-26 11:00 PM,2022,10,26,23,41.0,38,Good,43.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 12:00 AM,2022,10,27,00,38.0,35,Good,40.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 01:00 AM,2022,10,27,01,39.0,36,Good,41.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 02:00 AM,2022,10,27,02,24.0,22,Good,23.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 03:00 AM,2022,10,27,03,22.0,20,Good,21.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 04:00 AM,2022,10,27,04,31.0,29,Good,32.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 05:00 AM,2022,10,27,05,30.0,28,Good,30.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 06:00 AM,2022,10,27,06,16.0,15,Good,13.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 07:00 AM,2022,10,27,07,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 08:00 AM,2022,10,27,08,6.0,6,Good,2.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 09:00 AM,2022,10,27,09,18.0,17,Good,16.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 10:00 AM,2022,10,27,10,23.0,21,Good,22.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 11:00 AM,2022,10,27,11,30.0,28,Good,30.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 12:00 PM,2022,10,27,12,38.0,35,Good,39.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 01:00 PM,2022,10,27,13,48.0,44,Good,52.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 02:00 PM,2022,10,27,14,56.0,54,Moderate,61.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 03:00 PM,2022,10,27,15,56.0,54,Moderate,60.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 04:00 PM,2022,10,27,16,57.0,58,Moderate,62.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 05:00 PM,2022,10,27,17,68.0,93,Moderate,75.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 06:00 PM,2022,10,27,18,67.0,90,Moderate,73.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 07:00 PM,2022,10,27,19,54.0,50,Good,59.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 08:00 PM,2022,10,27,20,37.0,34,Good,39.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 09:00 PM,2022,10,27,21,33.0,31,Good,34.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 10:00 PM,2022,10,27,22,34.0,31,Good,35.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-27 11:00 PM,2022,10,27,23,35.0,32,Good,35.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 12:00 AM,2022,10,28,00,33.0,31,Good,34.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 01:00 AM,2022,10,28,01,36.0,33,Good,37.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 02:00 AM,2022,10,28,02,31.0,29,Good,31.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 03:00 AM,2022,10,28,03,25.0,23,Good,24.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 04:00 AM,2022,10,28,04,16.0,15,Good,13.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 05:00 AM,2022,10,28,05,23.0,21,Good,21.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 06:00 AM,2022,10,28,06,23.0,21,Good,22.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 07:00 AM,2022,10,28,07,7.0,6,Good,3.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 08:00 AM,2022,10,28,08,6.0,6,Good,2.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 09:00 AM,2022,10,28,09,15.0,14,Good,12.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 10:00 AM,2022,10,28,10,31.0,29,Good,31.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 11:00 AM,2022,10,28,11,44.0,41,Good,46.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 12:00 PM,2022,10,28,12,48.0,44,Good,52.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 01:00 PM,2022,10,28,13,52.0,48,Good,55.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 02:00 PM,2022,10,28,14,54.0,50,Good,59.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 03:00 PM,2022,10,28,15,57.0,58,Moderate,62.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 04:00 PM,2022,10,28,16,61.0,71,Moderate,66.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 05:00 PM,2022,10,28,17,49.0,45,Good,53.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 06:00 PM,2022,10,28,18,47.0,44,Good,50.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 07:00 PM,2022,10,28,19,42.0,39,Good,44.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 08:00 PM,2022,10,28,20,39.0,36,Good,40.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 09:00 PM,2022,10,28,21,38.0,35,Good,39.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 10:00 PM,2022,10,28,22,35.0,32,Good,36.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2022-10-28 11:00 PM,2022,10,28,23,31.0,29,Good,32.0,PPB,1 Hr,Valid
