Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 01:00 AM,2019,07,01,01,47.7,131,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 02:00 AM,2019,07,01,02,47.1,130,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 03:00 AM,2019,07,01,03,44.6,123,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 04:00 AM,2019,07,01,04,42.8,119,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 05:00 AM,2019,07,01,05,42.6,118,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 06:00 AM,2019,07,01,06,43.0,119,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 07:00 AM,2019,07,01,07,45.2,125,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 08:00 AM,2019,07,01,08,48.8,134,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 09:00 AM,2019,07,01,09,53.3,145,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 10:00 AM,2019,07,01,10,49.5,135,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 11:00 AM,2019,07,01,11,45.6,126,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 12:00 PM,2019,07,01,12,45.7,126,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 01:00 PM,2019,07,01,13,45.4,125,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 02:00 PM,2019,07,01,14,42.7,119,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 03:00 PM,2019,07,01,15,38.5,108,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 04:00 PM,2019,07,01,16,37.0,105,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 05:00 PM,2019,07,01,17,33.8,97,Moderate,31.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 06:00 PM,2019,07,01,18,29.8,88,Moderate,26.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 07:00 PM,2019,07,01,19,25.9,80,Moderate,22.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 08:00 PM,2019,07,01,20,26.9,82,Moderate,28.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2019-07-01 09:00 PM,2019,07,01,21,27.9,84,Moderate,29.0,UG/M3,1 Hr,Valid
