Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,O3,2019-07-01 01:00 AM,2019,07,01,01,16.0,15,Good,15.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 02:00 AM,2019,07,01,02,14.0,13,Good,13.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 03:00 AM,2019,07,01,03,14.0,13,Good,14.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 04:00 AM,2019,07,01,04,16.0,15,Good,17.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 05:00 AM,2019,07,01,05,13.0,12,Good,10.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 06:00 AM,2019,07,01,06,12.0,11,Good,11.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 07:00 AM,2019,07,01,07,13.0,12,Good,14.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 08:00 AM,2019,07,01,08,18.0,17,Good,23.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 09:00 AM,2019,07,01,09,40.0,37,Good,46.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 10:00 AM,2019,07,01,10,59.0,64,Moderate,63.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 11:00 AM,2019,07,01,11,65.0,84,Moderate,66.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 12:00 PM,2019,07,01,12,78.0,126,Unhealthy for Sensitive Groups,80.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 01:00 PM,2019,07,01,13,79.0,129,Unhealthy for Sensitive Groups,79.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 02:00 PM,2019,07,01,14,59.0,64,Moderate,55.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 03:00 PM,2019,07,01,15,53.0,49,Good,49.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 04:00 PM,2019,07,01,16,47.0,44,Good,39.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 05:00 PM,2019,07,01,17,36.0,33,Good,31.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 06:00 PM,2019,07,01,18,30.0,28,Good,27.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 07:00 PM,2019,07,01,19,20.0,19,Good,18.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 08:00 PM,2019,07,01,20,17.0,16,Good,16.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 09:00 PM,2019,07,01,21,17.0,16,Good,17.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 10:00 PM,2019,07,01,22,14.0,13,Good,13.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-01 11:00 PM,2019,07,01,23,11.0,10,Good,10.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-02 12:00 AM,2019,07,02,00,11.0,10,Good,11.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-02 01:00 AM,2019,07,02,01,12.0,11,Good,13.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-02 02:00 AM,2019,07,02,02,14.0,13,Good,16.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-02 03:00 AM,2019,07,02,03,16.0,15,Good,19.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-02 04:00 AM,2019,07,02,04,18.0,17,Good,19.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2019-07-02 05:00 AM,2019,07,02,05,16.0,15,Good,14.0,PPB,1 Hr,Valid
