Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Khartoum Residential,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,27.2,83,Moderate,26.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,24.1,76,Moderate,21.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,22.0,72,Moderate,20.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,20.5,69,Moderate,19.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,18.2,64,Moderate,16.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,18.1,64,Moderate,18.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,21.0,70,Moderate,24.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,22.0,72,Moderate,23.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,21.5,71,Moderate,21.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,24.8,78,Moderate,29.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,22.2,72,Moderate,19.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,22.5,73,Moderate,23.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,20.5,69,Moderate,18.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,20.7,69,Moderate,21.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,19.0,66,Moderate,17.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,17.6,63,Moderate,16.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,17.6,63,Moderate,-999.0,UG/M3,1 Hr,Missing
Khartoum Residential,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,24.4,77,Moderate,29.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,35.3,100,Moderate,43.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,43.1,120,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,42.0,117,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,44.5,123,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,34.2,97,Moderate,24.0,UG/M3,1 Hr,Valid
Khartoum Residential,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,30.0,89,Moderate,26.0,UG/M3,1 Hr,Valid
