Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2019-01-01 01:00 AM,2019,01,01,01,173.1,223,Very Unhealthy,161.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 02:00 AM,2019,01,01,02,160.6,211,Very Unhealthy,148.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 03:00 AM,2019,01,01,03,169.8,220,Very Unhealthy,179.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 04:00 AM,2019,01,01,04,174.9,225,Very Unhealthy,180.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 05:00 AM,2019,01,01,05,172.0,222,Very Unhealthy,169.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 06:00 AM,2019,01,01,06,172.5,223,Very Unhealthy,173.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 07:00 AM,2019,01,01,07,183.5,234,Very Unhealthy,204.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 08:00 AM,2019,01,01,08,194.6,245,Very Unhealthy,216.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 09:00 AM,2019,01,01,09,189.3,239,Very Unhealthy,181.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 10:00 AM,2019,01,01,10,157.2,208,Very Unhealthy,117.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 11:00 AM,2019,01,01,11,120.1,184,Unhealthy,86.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 12:00 PM,2019,01,01,12,88.0,168,Unhealthy,56.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 01:00 PM,2019,01,01,13,62.0,154,Unhealthy,36.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 02:00 PM,2019,01,01,14,47.9,132,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 03:00 PM,2019,01,01,15,40.9,114,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 04:00 PM,2019,01,01,16,36.9,104,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 05:00 PM,2019,01,01,17,51.4,140,Unhealthy for Sensitive Groups,66.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 06:00 PM,2019,01,01,18,78.7,163,Unhealthy,106.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 07:00 PM,2019,01,01,19,103.8,176,Unhealthy,129.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 08:00 PM,2019,01,01,20,140.4,195,Unhealthy,177.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 09:00 PM,2019,01,01,21,148.7,199,Unhealthy,157.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 10:00 PM,2019,01,01,22,163.3,214,Very Unhealthy,178.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-01 11:00 PM,2019,01,01,23,175.1,225,Very Unhealthy,187.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 12:00 AM,2019,01,02,00,180.1,230,Very Unhealthy,185.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 01:00 AM,2019,01,02,01,174.5,225,Very Unhealthy,169.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 02:00 AM,2019,01,02,02,165.3,216,Very Unhealthy,156.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 03:00 AM,2019,01,02,03,156.6,207,Very Unhealthy,148.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 04:00 AM,2019,01,02,04,166.8,217,Very Unhealthy,177.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 05:00 AM,2019,01,02,05,169.7,220,Very Unhealthy,174.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 06:00 AM,2019,01,02,06,173.0,223,Very Unhealthy,182.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 07:00 AM,2019,01,02,07,178.1,228,Very Unhealthy,195.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 08:00 AM,2019,01,02,08,197.2,247,Very Unhealthy,227.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 09:00 AM,2019,01,02,09,205.3,255,Very Unhealthy,220.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 10:00 AM,2019,01,02,10,184.4,235,Very Unhealthy,146.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 11:00 AM,2019,01,02,11,123.2,186,Unhealthy,67.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 12:00 PM,2019,01,02,12,87.6,168,Unhealthy,52.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 01:00 PM,2019,01,02,13,66.2,157,Unhealthy,45.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 02:00 PM,2019,01,02,14,61.1,154,Unhealthy,56.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 03:00 PM,2019,01,02,15,69.0,158,Unhealthy,77.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 04:00 PM,2019,01,02,16,99.0,173,Unhealthy,129.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 05:00 PM,2019,01,02,17,96.0,172,Unhealthy,93.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 06:00 PM,2019,01,02,18,126.4,188,Unhealthy,157.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 07:00 PM,2019,01,02,19,164.2,215,Very Unhealthy,202.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 08:00 PM,2019,01,02,20,160.1,211,Very Unhealthy,156.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 09:00 PM,2019,01,02,21,176.0,226,Very Unhealthy,192.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 10:00 PM,2019,01,02,22,180.5,231,Very Unhealthy,185.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-02 11:00 PM,2019,01,02,23,201.7,252,Very Unhealthy,223.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 12:00 AM,2019,01,03,00,213.9,264,Very Unhealthy,226.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 01:00 AM,2019,01,03,01,205.9,256,Very Unhealthy,198.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 02:00 AM,2019,01,03,02,195.5,246,Very Unhealthy,185.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 03:00 AM,2019,01,03,03,185.2,235,Very Unhealthy,175.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 04:00 AM,2019,01,03,04,193.6,244,Very Unhealthy,202.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 05:00 AM,2019,01,03,05,192.7,243,Very Unhealthy,190.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 06:00 AM,2019,01,03,06,191.0,241,Very Unhealthy,187.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 07:00 AM,2019,01,03,07,195.7,246,Very Unhealthy,206.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 08:00 AM,2019,01,03,08,202.2,252,Very Unhealthy,223.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 09:00 AM,2019,01,03,09,205.3,255,Very Unhealthy,215.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 10:00 AM,2019,01,03,10,201.2,251,Very Unhealthy,187.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 11:00 AM,2019,01,03,11,152.9,203,Very Unhealthy,106.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 12:00 PM,2019,01,03,12,122.4,186,Unhealthy,92.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 01:00 PM,2019,01,03,13,97.7,173,Unhealthy,73.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 02:00 PM,2019,01,03,14,84.8,166,Unhealthy,72.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 03:00 PM,2019,01,03,15,77.9,163,Unhealthy,71.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 04:00 PM,2019,01,03,16,73.4,160,Unhealthy,69.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 05:00 PM,2019,01,03,17,74.7,161,Unhealthy,76.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 06:00 PM,2019,01,03,18,90.3,169,Unhealthy,106.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 07:00 PM,2019,01,03,19,113.1,181,Unhealthy,136.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 08:00 PM,2019,01,03,20,133.0,191,Unhealthy,153.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 09:00 PM,2019,01,03,21,162.0,212,Very Unhealthy,191.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 10:00 PM,2019,01,03,22,189.5,240,Very Unhealthy,217.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-03 11:00 PM,2019,01,03,23,193.2,243,Very Unhealthy,197.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-04 12:00 AM,2019,01,04,00,206.6,257,Very Unhealthy,220.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-04 01:00 AM,2019,01,04,01,205.8,256,Very Unhealthy,205.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-04 02:00 AM,2019,01,04,02,223.4,273,Very Unhealthy,241.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-04 03:00 AM,2019,01,04,03,227.7,278,Very Unhealthy,232.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-04 04:00 AM,2019,01,04,04,233.3,283,Very Unhealthy,239.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-04 05:00 AM,2019,01,04,05,235.7,285,Very Unhealthy,238.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2019-01-04 06:00 AM,2019,01,04,06,248.7,298,Very Unhealthy,263.0,UG/M3,1 Hr,Valid
