Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2018-06-01 01:00 AM,2018,06,01,01,19.6,67,Moderate,17.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2018-06-01 02:00 AM,2018,06,01,02,20.8,69,Moderate,22.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2018-06-01 03:00 AM,2018,06,01,03,23.6,75,Moderate,27.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2018-06-01 04:00 AM,2018,06,01,04,23.0,74,Moderate,22.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2018-06-01 05:00 AM,2018,06,01,05,23.0,74,Moderate,23.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2018-06-01 06:00 AM,2018,06,01,06,23.0,74,Moderate,23.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2018-06-01 07:00 AM,2018,06,01,07,23.8,76,Moderate,25.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2018-06-01 08:00 AM,2018,06,01,08,23.8,76,Moderate,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 09:00 AM,2018,06,01,09,23.8,76,Moderate,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 10:00 AM,2018,06,01,10,23.8,76,Moderate,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 11:00 AM,2018,06,01,11,23.8,76,Moderate,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 12:00 PM,2018,06,01,12,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 01:00 PM,2018,06,01,13,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 02:00 PM,2018,06,01,14,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 03:00 PM,2018,06,01,15,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 04:00 PM,2018,06,01,16,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 05:00 PM,2018,06,01,17,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 06:00 PM,2018,06,01,18,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 07:00 PM,2018,06,01,19,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 08:00 PM,2018,06,01,20,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 09:00 PM,2018,06,01,21,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 10:00 PM,2018,06,01,22,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-01 11:00 PM,2018,06,01,23,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 12:00 AM,2018,06,02,00,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 01:00 AM,2018,06,02,01,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 02:00 AM,2018,06,02,02,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 03:00 AM,2018,06,02,03,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 04:00 AM,2018,06,02,04,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 05:00 AM,2018,06,02,05,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 06:00 AM,2018,06,02,06,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 07:00 AM,2018,06,02,07,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 08:00 AM,2018,06,02,08,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 09:00 AM,2018,06,02,09,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 10:00 AM,2018,06,02,10,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 11:00 AM,2018,06,02,11,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 12:00 PM,2018,06,02,12,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 01:00 PM,2018,06,02,13,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 02:00 PM,2018,06,02,14,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 03:00 PM,2018,06,02,15,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 04:00 PM,2018,06,02,16,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 05:00 PM,2018,06,02,17,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 06:00 PM,2018,06,02,18,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 07:00 PM,2018,06,02,19,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 08:00 PM,2018,06,02,20,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 09:00 PM,2018,06,02,21,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 10:00 PM,2018,06,02,22,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-02 11:00 PM,2018,06,02,23,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-03 12:00 AM,2018,06,03,00,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-03 01:00 AM,2018,06,03,01,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-03 02:00 AM,2018,06,03,02,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-03 03:00 AM,2018,06,03,03,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-03 04:00 AM,2018,06,03,04,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-03 05:00 AM,2018,06,03,05,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-03 06:00 AM,2018,06,03,06,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-03 07:00 AM,2018,06,03,07,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-03 08:00 AM,2018,06,03,08,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2018-06-03 09:00 AM,2018,06,03,09,-999.0,-999,N/A,-999.0,UG/M3,1 Hr,Missing
