Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sarajevo,PM2.5 - Principal,2023-01-01 01:00 AM,2023,01,01,01,111.0,180,Unhealthy,138.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 02:00 AM,2023,01,01,02,117.0,183,Unhealthy,123.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 03:00 AM,2023,01,01,03,133.5,191,Unhealthy,150.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 04:00 AM,2023,01,01,04,115.7,182,Unhealthy,98.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 05:00 AM,2023,01,01,05,110.3,179,Unhealthy,105.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 06:00 AM,2023,01,01,06,139.1,194,Unhealthy,168.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 07:00 AM,2023,01,01,07,115.5,182,Unhealthy,92.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 08:00 AM,2023,01,01,08,142.3,196,Unhealthy,169.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 09:00 AM,2023,01,01,09,146.6,198,Unhealthy,151.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 10:00 AM,2023,01,01,10,147.3,198,Unhealthy,148.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 11:00 AM,2023,01,01,11,135.1,192,Unhealthy,122.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 12:00 PM,2023,01,01,12,129.2,189,Unhealthy,122.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 01:00 PM,2023,01,01,13,119.1,184,Unhealthy,107.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 02:00 PM,2023,01,01,14,114.0,181,Unhealthy,108.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 03:00 PM,2023,01,01,15,111.2,180,Unhealthy,108.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 04:00 PM,2023,01,01,16,113.8,181,Unhealthy,117.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 05:00 PM,2023,01,01,17,112.5,180,Unhealthy,111.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 06:00 PM,2023,01,01,18,125.9,187,Unhealthy,142.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 07:00 PM,2023,01,01,19,137.6,193,Unhealthy,161.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 08:00 PM,2023,01,01,20,146.1,198,Unhealthy,164.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 09:00 PM,2023,01,01,21,152.0,202,Very Unhealthy,163.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 10:00 PM,2023,01,01,22,147.1,198,Unhealthy,138.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-01 11:00 PM,2023,01,01,23,134.9,192,Unhealthy,112.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 12:00 AM,2023,01,02,00,115.4,182,Unhealthy,93.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 01:00 AM,2023,01,02,01,110.9,180,Unhealthy,105.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 02:00 AM,2023,01,02,02,101.0,174,Unhealthy,90.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 03:00 AM,2023,01,02,03,108.2,178,Unhealthy,117.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 04:00 AM,2023,01,02,04,95.6,172,Unhealthy,83.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 05:00 AM,2023,01,02,05,76.2,162,Unhealthy,57.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 06:00 AM,2023,01,02,06,128.1,188,Unhealthy,180.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 07:00 AM,2023,01,02,07,144.0,197,Unhealthy,160.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 08:00 AM,2023,01,02,08,139.5,194,Unhealthy,135.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 09:00 AM,2023,01,02,09,143.7,197,Unhealthy,148.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 10:00 AM,2023,01,02,10,136.3,193,Unhealthy,129.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 11:00 AM,2023,01,02,11,147.6,199,Unhealthy,159.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 12:00 PM,2023,01,02,12,159.3,210,Very Unhealthy,171.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 01:00 PM,2023,01,02,13,151.1,202,Very Unhealthy,143.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 02:00 PM,2023,01,02,14,153.5,204,Very Unhealthy,156.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 03:00 PM,2023,01,02,15,161.8,212,Very Unhealthy,170.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 04:00 PM,2023,01,02,16,166.4,217,Very Unhealthy,171.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 05:00 PM,2023,01,02,17,161.5,212,Very Unhealthy,161.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 06:00 PM,2023,01,02,18,176.9,227,Very Unhealthy,202.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 07:00 PM,2023,01,02,19,209.7,260,Very Unhealthy,242.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 08:00 PM,2023,01,02,20,235.2,285,Very Unhealthy,258.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 09:00 PM,2023,01,02,21,238.6,288,Very Unhealthy,242.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 10:00 PM,2023,01,02,22,229.5,279,Very Unhealthy,222.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-02 11:00 PM,2023,01,02,23,218.6,268,Very Unhealthy,205.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-03 12:00 AM,2023,01,03,00,197.8,248,Very Unhealthy,172.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-03 01:00 AM,2023,01,03,01,155.9,206,Very Unhealthy,117.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-03 02:00 AM,2023,01,03,02,128.9,189,Unhealthy,102.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2023-01-03 03:00 AM,2023,01,03,03,106.4,177,Unhealthy,84.0,UG/M3,1 Hr,Valid
