Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,2019-10-07 09:00 PM,2019,10,07,21,-999.0,-999,N/A,77.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-07 10:00 PM,2019,10,07,22,78.5,163,Unhealthy,80.0,UG/M3,1 Hr,Suspect
Hanoi,PM2.5 - Principal,2019-10-07 11:00 PM,2019,10,07,23,78.5,163,Unhealthy,37.0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,2019-10-08 12:00 AM,2019,10,08,00,42.6,118,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 01:00 AM,2019,10,08,01,46.4,128,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 02:00 AM,2019,10,08,02,47.2,130,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 03:00 AM,2019,10,08,03,42.9,119,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 04:00 AM,2019,10,08,04,46.0,127,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 05:00 AM,2019,10,08,05,65.7,156,Unhealthy,85.0,UG/M3,1 Hr,Suspect
Hanoi,PM2.5 - Principal,2019-10-08 06:00 AM,2019,10,08,06,75.9,162,Unhealthy,86.0,UG/M3,1 Hr,Suspect
Hanoi,PM2.5 - Principal,2019-10-08 07:00 AM,2019,10,08,07,61.9,154,Unhealthy,48.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 08:00 AM,2019,10,08,08,49.9,136,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 09:00 AM,2019,10,08,09,47.4,130,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 10:00 AM,2019,10,08,10,44.2,122,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 11:00 AM,2019,10,08,11,44.1,122,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 12:00 PM,2019,10,08,12,44.0,122,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 01:00 PM,2019,10,08,13,37.5,106,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 02:00 PM,2019,10,08,14,30.2,89,Moderate,23.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 03:00 PM,2019,10,08,15,25.6,79,Moderate,21.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 04:00 PM,2019,10,08,16,23.3,75,Moderate,21.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 05:00 PM,2019,10,08,17,23.1,74,Moderate,23.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 06:00 PM,2019,10,08,18,25.0,78,Moderate,27.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 07:00 PM,2019,10,08,19,27.5,83,Moderate,30.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 08:00 PM,2019,10,08,20,31.2,91,Moderate,35.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 09:00 PM,2019,10,08,21,33.1,95,Moderate,35.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 10:00 PM,2019,10,08,22,32.5,94,Moderate,32.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-08 11:00 PM,2019,10,08,23,30.7,90,Moderate,29.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 12:00 AM,2019,10,09,00,31.2,91,Moderate,32.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 01:00 AM,2019,10,09,01,31.5,92,Moderate,32.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 02:00 AM,2019,10,09,02,31.5,92,Moderate,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2019-10-09 04:00 AM,2019,10,09,04,-999.0,-999,N/A,16.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 05:00 AM,2019,10,09,05,15.9,59,Moderate,14.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 06:00 AM,2019,10,09,06,16.5,60,Moderate,17.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 07:00 AM,2019,10,09,07,20.4,68,Moderate,24.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 08:00 AM,2019,10,09,08,23.8,76,Moderate,27.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 09:00 AM,2019,10,09,09,26.4,81,Moderate,29.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 10:00 AM,2019,10,09,10,25.2,79,Moderate,24.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 11:00 AM,2019,10,09,11,24.6,77,Moderate,24.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 12:00 PM,2019,10,09,12,27.8,84,Moderate,31.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 01:00 PM,2019,10,09,13,28.4,85,Moderate,29.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 02:00 PM,2019,10,09,14,27.2,83,Moderate,26.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 03:00 PM,2019,10,09,15,23.5,75,Moderate,20.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 04:00 PM,2019,10,09,16,25.8,80,Moderate,28.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 05:00 PM,2019,10,09,17,25.7,80,Moderate,-999.0,UG/M3,1 Hr,Missing
Hanoi,PM2.5 - Principal,2019-10-09 08:00 PM,2019,10,09,20,-999.0,-999,N/A,59.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 09:00 PM,2019,10,09,21,49.9,136,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 10:00 PM,2019,10,09,22,50.0,137,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-09 11:00 PM,2019,10,09,23,56.3,151,Unhealthy,62.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-10 12:00 AM,2019,10,10,00,59.7,153,Unhealthy,63.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-10 01:00 AM,2019,10,10,01,141.5,195,Unhealthy,221.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-10 02:00 AM,2019,10,10,02,183.0,233,Very Unhealthy,224.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-10 03:00 AM,2019,10,10,03,294.4,345,Hazardous,405.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-10 04:00 AM,2019,10,10,04,255.6,306,Hazardous,217.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-10 05:00 AM,2019,10,10,05,172.7,223,Very Unhealthy,90.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-10 06:00 AM,2019,10,10,06,154.3,205,Very Unhealthy,136.0,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,2019-10-10 07:00 AM,2019,10,10,07,135.6,192,Unhealthy,117.0,UG/M3,1 Hr,Valid
