Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2018-01-01 01:00 AM,2018,01,01,01,164.4,215,Very Unhealthy,164.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 02:00 AM,2018,01,01,02,180.2,230,Very Unhealthy,196.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 03:00 AM,2018,01,01,03,172.6,223,Very Unhealthy,165.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 04:00 AM,2018,01,01,04,156.8,207,Very Unhealthy,141.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 05:00 AM,2018,01,01,05,152.9,203,Very Unhealthy,147.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 06:00 AM,2018,01,01,06,158.8,209,Very Unhealthy,165.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 07:00 AM,2018,01,01,07,174.7,225,Very Unhealthy,197.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 08:00 AM,2018,01,01,08,188.1,238,Very Unhealthy,207.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 09:00 AM,2018,01,01,09,191.4,242,Very Unhealthy,196.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 10:00 AM,2018,01,01,10,171.9,222,Very Unhealthy,140.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 11:00 AM,2018,01,01,11,145.0,197,Unhealthy,115.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 12:00 PM,2018,01,01,12,100.5,174,Unhealthy,60.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 01:00 PM,2018,01,01,13,82.7,165,Unhealthy,65.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 02:00 PM,2018,01,01,14,72.8,160,Unhealthy,63.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 03:00 PM,2018,01,01,15,80.9,164,Unhealthy,89.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 04:00 PM,2018,01,01,16,98.9,173,Unhealthy,117.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 05:00 PM,2018,01,01,17,108.9,179,Unhealthy,119.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 06:00 PM,2018,01,01,18,124.4,187,Unhealthy,140.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 07:00 PM,2018,01,01,19,142.7,196,Unhealthy,161.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 08:00 PM,2018,01,01,20,163.3,214,Very Unhealthy,184.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 09:00 PM,2018,01,01,21,174.1,224,Very Unhealthy,185.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 10:00 PM,2018,01,01,22,201.6,252,Very Unhealthy,229.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-01 11:00 PM,2018,01,01,23,205.3,255,Very Unhealthy,209.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 12:00 AM,2018,01,02,00,219.1,269,Very Unhealthy,233.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 01:00 AM,2018,01,02,01,208.6,259,Very Unhealthy,198.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 02:00 AM,2018,01,02,02,205.8,256,Very Unhealthy,203.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 03:00 AM,2018,01,02,03,206.4,256,Very Unhealthy,207.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 04:00 AM,2018,01,02,04,189.1,239,Very Unhealthy,171.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 05:00 AM,2018,01,02,05,188.1,238,Very Unhealthy,182.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 06:00 AM,2018,01,02,06,185.4,236,Very Unhealthy,173.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 07:00 AM,2018,01,02,07,182.9,233,Very Unhealthy,171.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 08:00 AM,2018,01,02,08,182.4,233,Very Unhealthy,181.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 09:00 AM,2018,01,02,09,179.2,229,Very Unhealthy,171.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 10:00 AM,2018,01,02,10,178.3,229,Very Unhealthy,177.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 11:00 AM,2018,01,02,11,168.5,219,Very Unhealthy,153.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 12:00 PM,2018,01,02,12,153.5,204,Very Unhealthy,130.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 01:00 PM,2018,01,02,13,143.3,196,Unhealthy,128.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 02:00 PM,2018,01,02,14,136.1,193,Unhealthy,126.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 03:00 PM,2018,01,02,15,134.1,192,Unhealthy,123.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 04:00 PM,2018,01,02,16,125.0,187,Unhealthy,114.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 05:00 PM,2018,01,02,17,125.7,187,Unhealthy,127.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 06:00 PM,2018,01,02,18,135.0,192,Unhealthy,151.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 07:00 PM,2018,01,02,19,159.0,209,Very Unhealthy,193.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 08:00 PM,2018,01,02,20,179.4,230,Very Unhealthy,203.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 09:00 PM,2018,01,02,21,189.3,239,Very Unhealthy,202.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 10:00 PM,2018,01,02,22,185.2,235,Very Unhealthy,180.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-02 11:00 PM,2018,01,02,23,174.1,224,Very Unhealthy,160.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-03 12:00 AM,2018,01,03,00,169.2,220,Very Unhealthy,163.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-03 01:00 AM,2018,01,03,01,163.9,214,Very Unhealthy,157.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-03 02:00 AM,2018,01,03,02,162.6,213,Very Unhealthy,161.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-03 03:00 AM,2018,01,03,03,165.8,216,Very Unhealthy,170.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2018-01-03 04:00 AM,2018,01,03,04,168.4,219,Very Unhealthy,172.0,UG/M3,1 Hr,Valid
