Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bishkek,PM2.5 - Principal,2023-01-01 01:00 AM,2023,01,01,01,34.4,98,Moderate,36.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 02:00 AM,2023,01,01,02,31.7,92,Moderate,29.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 03:00 AM,2023,01,01,03,32.8,95,Moderate,34.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 04:00 AM,2023,01,01,04,34.4,98,Moderate,36.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 05:00 AM,2023,01,01,05,35.2,100,Moderate,36.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 06:00 AM,2023,01,01,06,36.6,104,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 07:00 AM,2023,01,01,07,35.2,100,Moderate,34.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 08:00 AM,2023,01,01,08,32.1,93,Moderate,29.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 09:00 AM,2023,01,01,09,28.0,84,Moderate,24.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 10:00 AM,2023,01,01,10,29.9,88,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 11:00 AM,2023,01,01,11,33.1,95,Moderate,38.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 12:00 PM,2023,01,01,12,32.2,93,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 01:00 PM,2023,01,01,13,33.6,96,Moderate,36.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 02:00 PM,2023,01,01,14,36.8,104,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 03:00 PM,2023,01,01,15,39.6,111,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 04:00 PM,2023,01,01,16,34.9,99,Moderate,29.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 05:00 PM,2023,01,01,17,31.4,92,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 06:00 PM,2023,01,01,18,33.4,96,Moderate,36.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 07:00 PM,2023,01,01,19,32.3,93,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 08:00 PM,2023,01,01,20,36.6,104,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 09:00 PM,2023,01,01,21,31.0,91,Moderate,24.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 10:00 PM,2023,01,01,22,29.2,87,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-01 11:00 PM,2023,01,01,23,30.4,89,Moderate,32.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 12:00 AM,2023,01,02,00,28.4,85,Moderate,26.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 01:00 AM,2023,01,02,01,26.9,82,Moderate,25.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 02:00 AM,2023,01,02,02,26.0,80,Moderate,25.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 03:00 AM,2023,01,02,03,24.0,76,Moderate,22.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 04:00 AM,2023,01,02,04,23.5,75,Moderate,23.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 05:00 AM,2023,01,02,05,20.2,68,Moderate,17.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 06:00 AM,2023,01,02,06,19.1,66,Moderate,18.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 07:00 AM,2023,01,02,07,17.5,62,Moderate,16.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 08:00 AM,2023,01,02,08,20.2,68,Moderate,23.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 09:00 AM,2023,01,02,09,24.6,77,Moderate,29.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 10:00 AM,2023,01,02,10,29.3,87,Moderate,34.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 11:00 AM,2023,01,02,11,30.1,89,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 12:00 PM,2023,01,02,12,31.0,91,Moderate,32.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 01:00 PM,2023,01,02,13,25.5,79,Moderate,20.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 02:00 PM,2023,01,02,14,23.2,74,Moderate,21.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 03:00 PM,2023,01,02,15,53.6,146,Unhealthy for Sensitive Groups,84.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 04:00 PM,2023,01,02,16,64.3,156,Unhealthy,75.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 05:00 PM,2023,01,02,17,77.6,162,Unhealthy,91.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 06:00 PM,2023,01,02,18,76.3,162,Unhealthy,75.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 07:00 PM,2023,01,02,19,97.6,173,Unhealthy,119.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 08:00 PM,2023,01,02,20,86.8,167,Unhealthy,76.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 09:00 PM,2023,01,02,21,78.9,163,Unhealthy,71.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 10:00 PM,2023,01,02,22,71.9,159,Unhealthy,65.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-02 11:00 PM,2023,01,02,23,67.4,157,Unhealthy,63.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 12:00 AM,2023,01,03,00,58.2,152,Unhealthy,49.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 01:00 AM,2023,01,03,01,55.6,151,Unhealthy,53.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 02:00 AM,2023,01,03,02,51.8,141,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 03:00 AM,2023,01,03,03,46.9,129,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 04:00 AM,2023,01,03,04,41.9,117,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 05:00 AM,2023,01,03,05,37.9,107,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 06:00 AM,2023,01,03,06,30.4,89,Moderate,23.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 07:00 AM,2023,01,03,07,23.7,75,Moderate,17.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 08:00 AM,2023,01,03,08,19.3,66,Moderate,15.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 09:00 AM,2023,01,03,09,18.1,64,Moderate,17.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 10:00 AM,2023,01,03,10,17.0,61,Moderate,16.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 11:00 AM,2023,01,03,11,35.0,99,Moderate,53.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 12:00 PM,2023,01,03,12,41.5,116,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 01:00 PM,2023,01,03,13,34.7,99,Moderate,28.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 02:00 PM,2023,01,03,14,32.8,95,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 03:00 PM,2023,01,03,15,32.4,94,Moderate,32.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 04:00 PM,2023,01,03,16,27.7,84,Moderate,23.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 05:00 PM,2023,01,03,17,29.3,87,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 06:00 PM,2023,01,03,18,28.1,85,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 07:00 PM,2023,01,03,19,28.5,85,Moderate,29.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 08:00 PM,2023,01,03,20,35.2,100,Moderate,42.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 09:00 PM,2023,01,03,21,35.6,101,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 10:00 PM,2023,01,03,22,39.8,112,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-03 11:00 PM,2023,01,03,23,40.9,114,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-04 12:00 AM,2023,01,04,00,64.4,156,Unhealthy,88.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-04 01:00 AM,2023,01,04,01,78.2,163,Unhealthy,92.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-04 02:00 AM,2023,01,04,02,95.1,171,Unhealthy,112.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-04 03:00 AM,2023,01,04,03,74.5,161,Unhealthy,54.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-04 04:00 AM,2023,01,04,04,54.2,147,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-04 05:00 AM,2023,01,04,05,40.6,114,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2023-01-04 06:00 AM,2023,01,04,06,30.8,90,Moderate,21.0,UG/M3,1 Hr,Valid
