Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Doha,O3,2023-01-01 01:00 AM,2023,01,01,01,22.0,20,Good,17.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 02:00 AM,2023,01,01,02,24.0,22,Good,26.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 03:00 AM,2023,01,01,03,22.0,20,Good,30.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 04:00 AM,2023,01,01,04,22.0,20,Good,30.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 05:00 AM,2023,01,01,05,24.0,22,Good,30.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 06:00 AM,2023,01,01,06,26.0,24,Good,25.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 07:00 AM,2023,01,01,07,20.0,19,Good,11.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 08:00 AM,2023,01,01,08,20.0,19,Good,11.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 09:00 AM,2023,01,01,09,24.0,22,Good,25.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 10:00 AM,2023,01,01,10,28.0,26,Good,37.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 11:00 AM,2023,01,01,11,35.0,32,Good,47.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 12:00 PM,2023,01,01,12,43.0,40,Good,52.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 01:00 PM,2023,01,01,13,49.0,45,Good,55.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 02:00 PM,2023,01,01,14,50.0,46,Good,52.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 03:00 PM,2023,01,01,15,50.0,46,Good,51.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 04:00 PM,2023,01,01,16,48.0,44,Good,49.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 05:00 PM,2023,01,01,17,45.0,42,Good,47.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 06:00 PM,2023,01,01,18,42.0,39,Good,45.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 07:00 PM,2023,01,01,19,41.0,38,Good,42.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 08:00 PM,2023,01,01,20,39.0,36,Good,39.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 09:00 PM,2023,01,01,21,39.0,36,Good,38.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 10:00 PM,2023,01,01,22,38.0,35,Good,39.0,PPB,1 Hr,Valid
Doha,O3,2023-01-01 11:00 PM,2023,01,01,23,36.0,33,Good,36.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 12:00 AM,2023,01,02,00,37.0,34,Good,36.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 01:00 AM,2023,01,02,01,39.0,36,Good,41.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 02:00 AM,2023,01,02,02,37.0,34,Good,39.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 03:00 AM,2023,01,02,03,36.0,33,Good,40.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 04:00 AM,2023,01,02,04,36.0,33,Good,-999.0,PPB,1 Hr,Missing
Doha,O3,2023-01-02 05:00 AM,2023,01,02,05,31.0,29,Good,32.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 06:00 AM,2023,01,02,06,20.0,19,Good,13.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 07:00 AM,2023,01,02,07,16.0,15,Good,5.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 08:00 AM,2023,01,02,08,16.0,15,Good,7.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 09:00 AM,2023,01,02,09,21.0,19,Good,16.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 10:00 AM,2023,01,02,10,21.0,19,Good,22.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 11:00 AM,2023,01,02,11,25.0,23,Good,29.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 12:00 PM,2023,01,02,12,29.0,27,Good,32.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 01:00 PM,2023,01,02,13,29.0,27,Good,35.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 02:00 PM,2023,01,02,14,27.0,25,Good,28.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 03:00 PM,2023,01,02,15,32.0,30,Good,33.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 04:00 PM,2023,01,02,16,29.0,27,Good,31.0,PPB,1 Hr,Valid
Doha,O3,2023-01-02 05:00 PM,2023,01,02,17,26.0,24,Good,24.0,PPB,1 Hr,Valid
