Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,O3,2021-01-01 02:00 AM,2021,01,01,02,9.0,8,Good,15.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 03:00 AM,2021,01,01,03,9.0,8,Good,11.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 04:00 AM,2021,01,01,04,7.0,6,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 05:00 AM,2021,01,01,05,7.0,6,Good,7.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 06:00 AM,2021,01,01,06,8.0,7,Good,11.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 07:00 AM,2021,01,01,07,6.0,6,Good,7.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 08:00 AM,2021,01,01,08,9.0,8,Good,9.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 09:00 AM,2021,01,01,09,16.0,15,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 10:00 AM,2021,01,01,10,22.0,20,Good,11.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 11:00 AM,2021,01,01,11,28.0,26,Good,27.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 12:00 PM,2021,01,01,12,34.0,31,Good,48.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 01:00 PM,2021,01,01,13,39.0,36,Good,60.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 02:00 PM,2021,01,01,14,39.0,36,Good,55.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 03:00 PM,2021,01,01,15,36.0,33,Good,37.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 04:00 PM,2021,01,01,16,34.0,31,Good,30.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 05:00 PM,2021,01,01,17,26.0,24,Good,22.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 06:00 PM,2021,01,01,18,19.0,18,Good,15.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 07:00 PM,2021,01,01,19,12.0,11,Good,3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 08:00 PM,2021,01,01,20,9.0,8,Good,3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 09:00 PM,2021,01,01,21,6.0,6,Good,2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 10:00 PM,2021,01,01,22,4.0,4,Good,3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-01 11:00 PM,2021,01,01,23,4.0,4,Good,4.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 12:00 AM,2021,01,02,00,3.0,3,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 01:00 AM,2021,01,02,01,2.0,2,Good,2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 03:00 AM,2021,01,02,03,2.0,2,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 04:00 AM,2021,01,02,04,4.0,4,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 05:00 AM,2021,01,02,05,4.0,4,Good,8.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 06:00 AM,2021,01,02,06,5.0,5,Good,4.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 08:00 AM,2021,01,02,08,8.0,7,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 09:00 AM,2021,01,02,09,11.0,10,Good,7.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 10:00 AM,2021,01,02,10,18.0,17,Good,12.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 11:00 AM,2021,01,02,11,27.0,25,Good,36.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 12:00 PM,2021,01,02,12,33.0,31,Good,56.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 01:00 PM,2021,01,02,13,39.0,36,Good,71.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 02:00 PM,2021,01,02,14,38.0,35,Good,54.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 03:00 PM,2021,01,02,15,39.0,36,Good,43.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 04:00 PM,2021,01,02,16,37.0,34,Good,38.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 05:00 PM,2021,01,02,17,30.0,28,Good,28.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 06:00 PM,2021,01,02,18,21.0,19,Good,8.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 07:00 PM,2021,01,02,19,16.0,15,Good,3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 08:00 PM,2021,01,02,20,13.0,12,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 09:00 PM,2021,01,02,21,9.0,8,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 10:00 PM,2021,01,02,22,6.0,6,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-02 11:00 PM,2021,01,02,23,5.0,5,Good,2.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 12:00 AM,2021,01,03,00,5.0,5,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 01:00 AM,2021,01,03,01,4.0,4,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 02:00 AM,2021,01,03,02,3.0,3,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 03:00 AM,2021,01,03,03,4.0,4,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 04:00 AM,2021,01,03,04,3.0,3,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 05:00 AM,2021,01,03,05,2.0,2,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 06:00 AM,2021,01,03,06,2.0,2,Good,0.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 07:00 AM,2021,01,03,07,4.0,4,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 08:00 AM,2021,01,03,08,8.0,7,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 09:00 AM,2021,01,03,09,14.0,13,Good,3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 10:00 AM,2021,01,03,10,21.0,19,Good,10.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 11:00 AM,2021,01,03,11,28.0,26,Good,34.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 12:00 PM,2021,01,03,12,35.0,32,Good,61.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 01:00 PM,2021,01,03,13,42.0,39,Good,77.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 02:00 PM,2021,01,03,14,42.0,39,Good,50.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 03:00 PM,2021,01,03,15,42.0,39,Good,43.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 04:00 PM,2021,01,03,16,35.0,32,Good,31.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 05:00 PM,2021,01,03,17,28.0,26,Good,20.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2021-01-03 06:00 PM,2021,01,03,18,19.0,18,Good,9.0,PPB,1 Hr,Valid
