Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Addis Ababa Central,PM2.5 - Principal,2019-01-01 01:00 AM,2019,01,01,01,21.0,70,Moderate,33.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 02:00 AM,2019,01,01,02,14.0,55,Moderate,7.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 03:00 AM,2019,01,01,03,12.0,50,Good,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 04:00 AM,2019,01,01,04,10.0,42,Good,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 05:00 AM,2019,01,01,05,9.5,40,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 06:00 AM,2019,01,01,06,9.2,38,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 07:00 AM,2019,01,01,07,16.6,60,Moderate,24.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 08:00 AM,2019,01,01,08,13.3,54,Moderate,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 09:00 AM,2019,01,01,09,10.1,42,Good,7.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 10:00 AM,2019,01,01,10,9.0,38,Good,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 11:00 AM,2019,01,01,11,7.5,31,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 12:00 PM,2019,01,01,12,5.2,22,Good,3.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 01:00 PM,2019,01,01,13,5.1,21,Good,5.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 02:00 PM,2019,01,01,14,6.0,25,Good,7.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 03:00 PM,2019,01,01,15,7.5,31,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 04:00 PM,2019,01,01,16,7.7,32,Good,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 05:00 PM,2019,01,01,17,8.8,37,Good,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 06:00 PM,2019,01,01,18,8.4,35,Good,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 07:00 PM,2019,01,01,19,10.2,43,Good,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 08:00 PM,2019,01,01,20,13.6,54,Moderate,17.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 09:00 PM,2019,01,01,21,11.8,49,Good,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 10:00 PM,2019,01,01,22,10.9,45,Good,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-01 11:00 PM,2019,01,01,23,14.4,56,Moderate,18.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-02 12:00 AM,2019,01,02,00,19.2,66,Moderate,24.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-02 01:00 AM,2019,01,02,01,15.6,58,Moderate,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-02 02:00 AM,2019,01,02,02,12.3,51,Moderate,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-02 03:00 AM,2019,01,02,03,9.1,38,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-02 04:00 AM,2019,01,02,04,7.5,31,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2019-01-02 05:00 AM,2019,01,02,05,6.2,26,Good,5.0,UG/M3,1 Hr,Valid
