Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2019-01-01 01:00 AM,2019,01,01,01,56.9,152,Unhealthy,57.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 02:00 AM,2019,01,01,02,55.7,151,Unhealthy,52.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 03:00 AM,2019,01,01,03,54.8,149,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 04:00 AM,2019,01,01,04,52.0,142,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 05:00 AM,2019,01,01,05,50.7,138,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 06:00 AM,2019,01,01,06,50.5,138,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 07:00 AM,2019,01,01,07,51.5,140,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 08:00 AM,2019,01,01,08,51.9,141,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 09:00 AM,2019,01,01,09,52.3,142,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 10:00 AM,2019,01,01,10,50.4,138,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 11:00 AM,2019,01,01,11,36.5,103,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 12:00 PM,2019,01,01,12,29.2,87,Moderate,22.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 01:00 PM,2019,01,01,13,21.1,70,Moderate,13.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 02:00 PM,2019,01,01,14,21.0,70,Moderate,21.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 03:00 PM,2019,01,01,15,19.0,66,Moderate,17.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2019-01-01 04:00 PM,2019,01,01,16,16.5,60,Moderate,14.0,UG/M3,1 Hr,Valid
