Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abuja,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,1.5,6,Good,0.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,2.0,8,Good,2.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,2.5,10,Good,3.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,4.1,17,Good,5.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,3.1,13,Good,2.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,3.2,13,Good,3.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,1.7,7,Good,0.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,1.9,8,Good,2.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,2.2,9,Good,2.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,3.9,16,Good,5.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,3.1,13,Good,2.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,3.1,13,Good,3.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,3.2,13,Good,3.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,3.4,14,Good,3.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,3.7,15,Good,4.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,4.4,18,Good,5.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,3.7,15,Good,3.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,2.8,12,Good,1.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,5.8,24,Good,8.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,3.8,16,Good,1.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,2.9,12,Good,2.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,3.1,13,Good,3.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,4.7,20,Good,6.4,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,4.0,17,Good,3.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,3.3,14,Good,2.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,2.7,11,Good,2.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,2.2,9,Good,1.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 04:00 AM,2022,01,02,04,2.2,9,Good,2.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 05:00 AM,2022,01,02,05,1.8,8,Good,1.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 06:00 AM,2022,01,02,06,1.7,7,Good,1.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 07:00 AM,2022,01,02,07,3.0,13,Good,4.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 08:00 AM,2022,01,02,08,3.1,13,Good,3.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 09:00 AM,2022,01,02,09,3.6,15,Good,4.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 10:00 AM,2022,01,02,10,2.7,11,Good,1.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 11:00 AM,2022,01,02,11,3.4,14,Good,4.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2022-01-02 12:00 PM,2022,01,02,12,2.7,11,Good,2.0,UG/M3,1 Hr,Valid
