Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,102.5,184,Unhealthy,127.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,130.2,206,Very Unhealthy,158.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,110.1,189,Unhealthy,90.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,99.5,182,Unhealthy,89.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,105.2,186,Unhealthy,111.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,95.1,179,Unhealthy,85.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,86.5,173,Unhealthy,78.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,79.2,168,Unhealthy,72.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,87.6,174,Unhealthy,96.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,63.3,156,Unhealthy,39.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,78.6,167,Unhealthy,94.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,97.8,181,Unhealthy,117.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,128.4,204,Very Unhealthy,159.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,110.2,189,Unhealthy,92.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,106.1,186,Unhealthy,102.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,63.0,156,Unhealthy,20.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 06:00 PM,2024,01,01,18,47.0,129,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 07:00 PM,2024,01,01,19,40.9,114,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 08:00 PM,2024,01,01,20,22.9,77,Moderate,5.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 09:00 PM,2024,01,01,21,28.9,88,Moderate,35.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 10:00 PM,2024,01,01,22,60.9,155,Unhealthy,93.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 11:00 PM,2024,01,01,23,61.0,155,Unhealthy,61.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 12:00 AM,2024,01,02,00,74.9,165,Unhealthy,89.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 01:00 AM,2024,01,02,01,88.9,174,Unhealthy,103.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 02:00 AM,2024,01,02,02,137.5,213,Very Unhealthy,186.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 03:00 AM,2024,01,02,03,137.5,213,Very Unhealthy,81.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 04:00 AM,2024,01,02,04,87.8,174,Unhealthy,63.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 05:00 AM,2024,01,02,05,62.2,156,Unhealthy,43.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 06:00 AM,2024,01,02,06,54.1,147,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 07:00 AM,2024,01,02,07,54.1,147,Unhealthy for Sensitive Groups,-6.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 08:00 AM,2024,01,02,08,59.4,154,Unhealthy,62.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 09:00 AM,2024,01,02,09,40.7,114,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 10:00 AM,2024,01,02,10,48.9,134,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 11:00 AM,2024,01,02,11,30.8,91,Moderate,14.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 12:00 PM,2024,01,02,12,44.6,123,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 01:00 PM,2024,01,02,13,50.8,139,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 02:00 PM,2024,01,02,14,55.4,150,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 03:00 PM,2024,01,02,15,62.2,156,Unhealthy,69.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 04:00 PM,2024,01,02,16,56.6,152,Unhealthy,51.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 05:00 PM,2024,01,02,17,56.6,152,Unhealthy,-6.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 06:00 PM,2024,01,02,18,44.8,124,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 07:00 PM,2024,01,02,19,29.5,89,Moderate,18.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 08:00 PM,2024,01,02,20,38.3,108,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 09:00 PM,2024,01,02,21,54.1,147,Unhealthy for Sensitive Groups,69.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 10:00 PM,2024,01,02,22,55.0,149,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 11:00 PM,2024,01,02,23,49.5,135,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 12:00 AM,2024,01,03,00,41.7,116,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 01:00 AM,2024,01,03,01,50.3,137,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 02:00 AM,2024,01,03,02,65.7,158,Unhealthy,81.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 03:00 AM,2024,01,03,03,57.8,153,Unhealthy,50.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 04:00 AM,2024,01,03,04,67.4,159,Unhealthy,77.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 05:00 AM,2024,01,03,05,78.7,167,Unhealthy,90.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 06:00 AM,2024,01,03,06,66.3,159,Unhealthy,54.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 07:00 AM,2024,01,03,07,82.1,170,Unhealthy,98.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 08:00 AM,2024,01,03,08,64.0,157,Unhealthy,46.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 09:00 AM,2024,01,03,09,58.0,153,Unhealthy,52.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 10:00 AM,2024,01,03,10,40.5,113,Unhealthy for Sensitive Groups,23.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 11:00 AM,2024,01,03,11,61.2,155,Unhealthy,82.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 12:00 PM,2024,01,03,12,73.1,163,Unhealthy,85.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 01:00 PM,2024,01,03,13,89.5,175,Unhealthy,106.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 02:00 PM,2024,01,03,14,113.2,191,Unhealthy,137.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 03:00 PM,2024,01,03,15,87.6,174,Unhealthy,62.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 04:00 PM,2024,01,03,16,74.8,165,Unhealthy,62.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 05:00 PM,2024,01,03,17,68.4,160,Unhealthy,62.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 06:00 PM,2024,01,03,18,52.2,142,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 07:00 PM,2024,01,03,19,59.5,154,Unhealthy,67.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 08:00 PM,2024,01,03,20,46.2,127,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 09:00 PM,2024,01,03,21,52.1,142,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 10:00 PM,2024,01,03,22,64.0,157,Unhealthy,76.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 11:00 PM,2024,01,03,23,46.5,128,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 12:00 AM,2024,01,04,00,65.2,158,Unhealthy,84.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 01:00 AM,2024,01,04,01,82.6,170,Unhealthy,100.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 02:00 AM,2024,01,04,02,102.3,184,Unhealthy,122.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 03:00 AM,2024,01,04,03,77.1,166,Unhealthy,52.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 04:00 AM,2024,01,04,04,70.0,161,Unhealthy,63.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 05:00 AM,2024,01,04,05,64.5,157,Unhealthy,59.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 06:00 AM,2024,01,04,06,72.2,163,Unhealthy,80.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 07:00 AM,2024,01,04,07,91.6,176,Unhealthy,111.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 08:00 AM,2024,01,04,08,65.3,158,Unhealthy,39.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 09:00 AM,2024,01,04,09,71.6,162,Unhealthy,78.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 10:00 AM,2024,01,04,10,75.3,165,Unhealthy,79.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 11:00 AM,2024,01,04,11,95.6,179,Unhealthy,116.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 12:00 PM,2024,01,04,12,83.3,170,Unhealthy,71.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 01:00 PM,2024,01,04,13,116.6,194,Unhealthy,150.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 02:00 PM,2024,01,04,14,119.3,196,Unhealthy,122.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 03:00 PM,2024,01,04,15,110.1,189,Unhealthy,101.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 04:00 PM,2024,01,04,16,95.0,179,Unhealthy,80.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 05:00 PM,2024,01,04,17,92.5,177,Unhealthy,90.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 06:00 PM,2024,01,04,18,59.7,154,Unhealthy,27.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 07:00 PM,2024,01,04,19,59.7,154,Unhealthy,-13.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 08:00 PM,2024,01,04,20,53.9,146,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 09:00 PM,2024,01,04,21,29.9,90,Moderate,12.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 10:00 PM,2024,01,04,22,35.3,100,Moderate,40.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-04 11:00 PM,2024,01,04,23,74.8,165,Unhealthy,112.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 12:00 AM,2024,01,05,00,84.5,171,Unhealthy,94.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 01:00 AM,2024,01,05,01,117.5,194,Unhealthy,150.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 02:00 AM,2024,01,05,02,118.7,195,Unhealthy,120.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 03:00 AM,2024,01,05,03,121.3,197,Unhealthy,124.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 04:00 AM,2024,01,05,04,121.4,197,Unhealthy,513.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 05:00 AM,2024,01,05,05,96.4,180,Unhealthy,84.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 06:00 AM,2024,01,05,06,75.6,165,Unhealthy,60.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 07:00 AM,2024,01,05,07,83.2,170,Unhealthy,90.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 08:00 AM,2024,01,05,08,93.9,178,Unhealthy,104.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 09:00 AM,2024,01,05,09,97.5,180,Unhealthy,101.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 10:00 AM,2024,01,05,10,108.8,188,Unhealthy,120.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 11:00 AM,2024,01,05,11,116.9,194,Unhealthy,125.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 12:00 PM,2024,01,05,12,136.0,211,Very Unhealthy,155.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 01:00 PM,2024,01,05,13,96.9,180,Unhealthy,58.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 02:00 PM,2024,01,05,14,100.4,182,Unhealthy,104.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 03:00 PM,2024,01,05,15,55.2,150,Unhealthy for Sensitive Groups,10.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 04:00 PM,2024,01,05,16,62.6,156,Unhealthy,70.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 05:00 PM,2024,01,05,17,63.8,157,Unhealthy,65.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 06:00 PM,2024,01,05,18,62.9,156,Unhealthy,62.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 07:00 PM,2024,01,05,19,62.8,156,Unhealthy,576.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 08:00 PM,2024,01,05,20,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 10:00 PM,2024,01,05,22,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-05 11:00 PM,2024,01,05,23,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 12:00 AM,2024,01,06,00,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 01:00 AM,2024,01,06,01,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 02:00 AM,2024,01,06,02,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 03:00 AM,2024,01,06,03,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 04:00 AM,2024,01,06,04,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 05:00 AM,2024,01,06,05,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 06:00 AM,2024,01,06,06,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 07:00 AM,2024,01,06,07,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 08:00 AM,2024,01,06,08,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 09:00 AM,2024,01,06,09,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 10:00 AM,2024,01,06,10,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 11:00 AM,2024,01,06,11,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 12:00 PM,2024,01,06,12,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 01:00 PM,2024,01,06,13,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 02:00 PM,2024,01,06,14,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 03:00 PM,2024,01,06,15,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 04:00 PM,2024,01,06,16,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 05:00 PM,2024,01,06,17,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 06:00 PM,2024,01,06,18,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 07:00 PM,2024,01,06,19,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 08:00 PM,2024,01,06,20,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 09:00 PM,2024,01,06,21,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 10:00 PM,2024,01,06,22,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-06 11:00 PM,2024,01,06,23,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 12:00 AM,2024,01,07,00,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 01:00 AM,2024,01,07,01,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 02:00 AM,2024,01,07,02,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 03:00 AM,2024,01,07,03,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 04:00 AM,2024,01,07,04,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 05:00 AM,2024,01,07,05,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 06:00 AM,2024,01,07,06,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 07:00 AM,2024,01,07,07,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 08:00 AM,2024,01,07,08,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 09:00 AM,2024,01,07,09,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 10:00 AM,2024,01,07,10,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 11:00 AM,2024,01,07,11,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 12:00 PM,2024,01,07,12,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 01:00 PM,2024,01,07,13,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 02:00 PM,2024,01,07,14,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 03:00 PM,2024,01,07,15,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 04:00 PM,2024,01,07,16,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 05:00 PM,2024,01,07,17,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 06:00 PM,2024,01,07,18,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 07:00 PM,2024,01,07,19,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 08:00 PM,2024,01,07,20,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 09:00 PM,2024,01,07,21,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 10:00 PM,2024,01,07,22,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-07 11:00 PM,2024,01,07,23,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-08 12:00 AM,2024,01,08,00,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-08 01:00 AM,2024,01,08,01,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-08 02:00 AM,2024,01,08,02,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-08 03:00 AM,2024,01,08,03,-999.0,-999,N/A,92.0,UG/M3,1 Hr,Invalid
