Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,102.5,175,Unhealthy,127.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,130.2,190,Unhealthy,158.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,110.1,179,Unhealthy,90.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,99.5,174,Unhealthy,89.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,105.2,177,Unhealthy,111.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,95.1,171,Unhealthy,85.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,86.5,167,Unhealthy,78.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,79.2,163,Unhealthy,72.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,87.6,168,Unhealthy,96.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,63.3,155,Unhealthy,39.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,78.6,163,Unhealthy,94.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,97.8,173,Unhealthy,117.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,128.4,189,Unhealthy,159.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,110.2,179,Unhealthy,92.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,106.1,177,Unhealthy,102.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,63.0,155,Unhealthy,20.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 06:00 PM,2024,01,01,18,47.0,129,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 07:00 PM,2024,01,01,19,40.9,114,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 08:00 PM,2024,01,01,20,22.9,74,Moderate,5.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 09:00 PM,2024,01,01,21,28.9,86,Moderate,35.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 10:00 PM,2024,01,01,22,60.9,154,Unhealthy,93.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-01 11:00 PM,2024,01,01,23,61.0,154,Unhealthy,61.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 12:00 AM,2024,01,02,00,74.9,161,Unhealthy,89.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 01:00 AM,2024,01,02,01,88.9,168,Unhealthy,103.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 02:00 AM,2024,01,02,02,137.5,193,Unhealthy,186.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 03:00 AM,2024,01,02,03,137.5,193,Unhealthy,81.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 04:00 AM,2024,01,02,04,87.8,168,Unhealthy,63.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 05:00 AM,2024,01,02,05,62.2,154,Unhealthy,43.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 06:00 AM,2024,01,02,06,54.1,147,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 07:00 AM,2024,01,02,07,54.1,147,Unhealthy for Sensitive Groups,-6.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 08:00 AM,2024,01,02,08,59.4,153,Unhealthy,62.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 09:00 AM,2024,01,02,09,40.7,114,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 10:00 AM,2024,01,02,10,48.9,134,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 11:00 AM,2024,01,02,11,30.8,90,Moderate,14.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 12:00 PM,2024,01,02,12,44.6,123,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 01:00 PM,2024,01,02,13,50.8,139,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 02:00 PM,2024,01,02,14,55.4,150,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 03:00 PM,2024,01,02,15,62.2,154,Unhealthy,69.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 04:00 PM,2024,01,02,16,56.6,152,Unhealthy,51.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 05:00 PM,2024,01,02,17,56.6,152,Unhealthy,-6.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 06:00 PM,2024,01,02,18,44.8,124,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 07:00 PM,2024,01,02,19,29.5,88,Moderate,18.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 08:00 PM,2024,01,02,20,38.3,108,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 09:00 PM,2024,01,02,21,54.1,147,Unhealthy for Sensitive Groups,69.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 10:00 PM,2024,01,02,22,55.0,149,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-02 11:00 PM,2024,01,02,23,49.5,135,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 12:00 AM,2024,01,03,00,41.7,116,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 01:00 AM,2024,01,03,01,50.3,137,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 02:00 AM,2024,01,03,02,65.7,156,Unhealthy,81.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 03:00 AM,2024,01,03,03,57.8,152,Unhealthy,50.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 04:00 AM,2024,01,03,04,67.4,157,Unhealthy,77.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 05:00 AM,2024,01,03,05,78.7,163,Unhealthy,90.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 06:00 AM,2024,01,03,06,66.3,157,Unhealthy,54.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 07:00 AM,2024,01,03,07,82.1,165,Unhealthy,98.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 08:00 AM,2024,01,03,08,64.0,155,Unhealthy,46.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2024-01-03 09:00 AM,2024,01,03,09,58.0,152,Unhealthy,52.0,UG/M3,1 Hr,Valid
