Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guangzhou,PM2.5 - Principal,2018-01-01 01:00 AM,2018,01,01,01,68.2,158,Unhealthy,69.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 02:00 AM,2018,01,01,02,66.3,157,Unhealthy,64.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 03:00 AM,2018,01,01,03,67.1,157,Unhealthy,69.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 04:00 AM,2018,01,01,04,68.2,158,Unhealthy,71.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 05:00 AM,2018,01,01,05,68.5,158,Unhealthy,69.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 06:00 AM,2018,01,01,06,68.7,158,Unhealthy,69.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 07:00 AM,2018,01,01,07,69.3,158,Unhealthy,72.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 08:00 AM,2018,01,01,08,70.0,158,Unhealthy,74.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 09:00 AM,2018,01,01,09,70.8,159,Unhealthy,74.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 10:00 AM,2018,01,01,10,72.1,160,Unhealthy,77.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 11:00 AM,2018,01,01,11,72.0,160,Unhealthy,71.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 12:00 PM,2018,01,01,12,72.0,160,Unhealthy,72.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 01:00 PM,2018,01,01,13,71.1,159,Unhealthy,67.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2018-01-01 02:00 PM,2018,01,01,14,68.6,158,Unhealthy,60.0,UG/M3,1 Hr,Valid
