Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Chennai,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,36.5,103,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,31.2,91,Moderate,26.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,32.6,94,Moderate,34.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,31.8,92,Moderate,31.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,30.4,89,Moderate,29.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,30.1,89,Moderate,30.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,30.1,89,Moderate,30.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,30.5,90,Moderate,31.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,31.5,92,Moderate,33.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,32.8,95,Moderate,36.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,36.0,102,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,35.6,101,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,35.4,100,Moderate,35.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,33.3,96,Moderate,29.0,UG/M3,1 Hr,Valid
Chennai,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,31.0,91,Moderate,27.0,UG/M3,1 Hr,Valid
