Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abuja,PM2.5 - Principal,2021-02-12 09:00 PM,2021,02,12,21,-999.0,-999,N/A,132.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-12 10:00 PM,2021,02,12,22,139.6,194,Unhealthy,146.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-12 11:00 PM,2021,02,12,23,116.8,183,Unhealthy,92.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 12:00 AM,2021,02,13,00,116.8,183,Unhealthy,-999.0,UG/M3,1 Hr,Missing
Abuja,PM2.5 - Principal,2021-02-13 01:00 AM,2021,02,13,01,65.2,156,Unhealthy,44.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 02:00 AM,2021,02,13,02,42.2,117,Unhealthy for Sensitive Groups,25.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 03:00 AM,2021,02,13,03,33.4,96,Moderate,25.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 04:00 AM,2021,02,13,04,27.5,83,Moderate,22.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 05:00 AM,2021,02,13,05,24.9,78,Moderate,22.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 06:00 AM,2021,02,13,06,23.2,74,Moderate,21.4,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 07:00 AM,2021,02,13,07,23.8,76,Moderate,24.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 08:00 AM,2021,02,13,08,24.7,77,Moderate,25.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 09:00 AM,2021,02,13,09,26.2,81,Moderate,27.8,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 10:00 AM,2021,02,13,10,30.1,89,Moderate,34.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 11:00 AM,2021,02,13,11,36.1,102,Unhealthy for Sensitive Groups,42.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 12:00 PM,2021,02,13,12,37.0,105,Unhealthy for Sensitive Groups,37.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 01:00 PM,2021,02,13,13,35.9,102,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 02:00 PM,2021,02,13,14,35.0,99,Moderate,33.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 03:00 PM,2021,02,13,15,36.6,104,Unhealthy for Sensitive Groups,38.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 04:00 PM,2021,02,13,16,36.2,103,Unhealthy for Sensitive Groups,35.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 05:00 PM,2021,02,13,17,37.8,107,Unhealthy for Sensitive Groups,39.4,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 06:00 PM,2021,02,13,18,37.8,107,Unhealthy for Sensitive Groups,38.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 07:00 PM,2021,02,13,19,39.6,111,Unhealthy for Sensitive Groups,42.5,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 08:00 PM,2021,02,13,20,47.3,130,Unhealthy for Sensitive Groups,54.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 09:00 PM,2021,02,13,21,62.8,155,Unhealthy,78.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 10:00 PM,2021,02,13,22,77.3,162,Unhealthy,91.7,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-13 11:00 PM,2021,02,13,23,80.7,164,Unhealthy,84.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 12:00 AM,2021,02,14,00,83.0,165,Unhealthy,85.4,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 01:00 AM,2021,02,14,01,96.7,172,Unhealthy,110.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 02:00 AM,2021,02,14,02,90.9,169,Unhealthy,85.2,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 03:00 AM,2021,02,14,03,69.0,158,Unhealthy,47.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 04:00 AM,2021,02,14,04,54.1,147,Unhealthy for Sensitive Groups,39.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 05:00 AM,2021,02,14,05,41.7,116,Unhealthy for Sensitive Groups,29.3,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 06:00 AM,2021,02,14,06,33.2,95,Moderate,24.6,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 07:00 AM,2021,02,14,07,31.0,91,Moderate,28.9,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 08:00 AM,2021,02,14,08,34.6,98,Moderate,38.1,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 09:00 AM,2021,02,14,09,118.2,183,Unhealthy,201.8,UG/M3,1 Hr,Valid
Abuja,PM2.5 - Principal,2021-02-14 10:00 AM,2021,02,14,10,82.2,165,Unhealthy,46.2,UG/M3,1 Hr,Valid
