Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bishkek,PM2.5 - Principal,2022-10-01 01:00 AM,2022,10,01,01,31.1,91,Moderate,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 02:00 AM,2022,10,01,02,26.5,81,Moderate,22.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 03:00 AM,2022,10,01,03,23.1,74,Moderate,19.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 04:00 AM,2022,10,01,04,24.9,78,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 05:00 AM,2022,10,01,05,25.9,80,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 06:00 AM,2022,10,01,06,24.0,76,Moderate,22.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 07:00 AM,2022,10,01,07,25.9,80,Moderate,28.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 08:00 AM,2022,10,01,08,26.3,81,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 09:00 AM,2022,10,01,09,29.7,88,Moderate,34.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 10:00 AM,2022,10,01,10,34.1,97,Moderate,38.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 11:00 AM,2022,10,01,11,41.5,116,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 12:00 PM,2022,10,01,12,53.2,145,Unhealthy for Sensitive Groups,65.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 01:00 PM,2022,10,01,13,62.6,155,Unhealthy,72.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 02:00 PM,2022,10,01,14,53.3,145,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 03:00 PM,2022,10,01,15,41.6,116,Unhealthy for Sensitive Groups,30.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 04:00 PM,2022,10,01,16,32.3,93,Moderate,23.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 05:00 PM,2022,10,01,17,26.1,80,Moderate,20.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 06:00 PM,2022,10,01,18,26.0,80,Moderate,26.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 07:00 PM,2022,10,01,19,26.5,81,Moderate,27.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-10-01 08:00 PM,2022,10,01,20,29.2,87,Moderate,32.0,UG/M3,1 Hr,Valid
