Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bishkek,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,28.2,85,Moderate,38.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,21.6,71,Moderate,15.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,15.3,58,Moderate,9.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,11.1,46,Good,7.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,7.9,33,Good,5.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,5.9,25,Good,4.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,3.4,14,Good,1.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,2.7,11,Good,2.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,2.8,12,Good,3.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,2.4,10,Good,2.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,2.2,9,Good,2.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,3.1,13,Good,4.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,3.0,13,Good,3.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,8.5,35,Good,14.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,8.2,34,Good,8.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,6.1,25,Good,4.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,7.0,29,Good,8.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,16.5,60,Moderate,26.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,41.7,116,Unhealthy for Sensitive Groups,67.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,50.8,139,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,56.4,151,Unhealthy,62.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,43.7,121,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,54.8,149,Unhealthy for Sensitive Groups,66.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,39.9,112,Unhealthy for Sensitive Groups,25.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,28.4,85,Moderate,17.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,20.2,68,Moderate,12.0,UG/M3,1 Hr,Valid
