Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kuwait City,PM2.5 - Principal,2018-01-01 01:00 AM,2018,01,01,01,82.9,165,Unhealthy,84.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 02:00 AM,2018,01,01,02,79.6,163,Unhealthy,75.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 03:00 AM,2018,01,01,03,79.2,163,Unhealthy,78.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 04:00 AM,2018,01,01,04,81.2,164,Unhealthy,85.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 05:00 AM,2018,01,01,05,81.8,165,Unhealthy,83.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 06:00 AM,2018,01,01,06,80.5,164,Unhealthy,76.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 07:00 AM,2018,01,01,07,78.9,163,Unhealthy,72.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 08:00 AM,2018,01,01,08,73.7,160,Unhealthy,64.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 09:00 AM,2018,01,01,09,71.7,159,Unhealthy,64.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 10:00 AM,2018,01,01,10,58.4,152,Unhealthy,47.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 11:00 AM,2018,01,01,11,63.5,155,Unhealthy,70.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 12:00 PM,2018,01,01,12,58.8,153,Unhealthy,53.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 01:00 PM,2018,01,01,13,56.2,151,Unhealthy,53.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 02:00 PM,2018,01,01,14,52.5,143,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 03:00 PM,2018,01,01,15,48.1,132,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 04:00 PM,2018,01,01,16,43.9,122,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 05:00 PM,2018,01,01,17,44.6,123,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 06:00 PM,2018,01,01,18,43.1,120,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 07:00 PM,2018,01,01,19,40.7,114,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 08:00 PM,2018,01,01,20,37.1,105,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 09:00 PM,2018,01,01,21,40.5,113,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 10:00 PM,2018,01,01,22,45.2,125,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-01 11:00 PM,2018,01,01,23,44.7,124,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-02 12:00 AM,2018,01,02,00,55.4,150,Unhealthy for Sensitive Groups,66.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-02 01:00 AM,2018,01,02,01,41.9,117,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-02 02:00 AM,2018,01,02,02,35.4,100,Moderate,29.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-02 03:00 AM,2018,01,02,03,28.2,85,Moderate,21.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-02 04:00 AM,2018,01,02,04,27.6,84,Moderate,27.0,UG/M3,1 Hr,Valid
Kuwait City,PM2.5 - Principal,2018-01-02 05:00 AM,2018,01,02,05,43.3,120,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
