Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Maputo,O3,2025-01-01 01:00 AM,2025,01,01,01,10.0,9,Good,10.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 02:00 AM,2025,01,01,02,8.0,7,Good,8.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 03:00 AM,2025,01,01,03,9.0,8,Good,8.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 04:00 AM,2025,01,01,04,10.0,9,Good,8.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 05:00 AM,2025,01,01,05,16.0,15,Good,42.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 06:00 AM,2025,01,01,06,15.0,14,Good,9.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 07:00 AM,2025,01,01,07,16.0,15,Good,11.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 08:00 AM,2025,01,01,08,15.0,14,Good,11.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 09:00 AM,2025,01,01,09,16.0,15,Good,11.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 10:00 AM,2025,01,01,10,13.0,12,Good,13.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 11:00 AM,2025,01,01,11,16.0,15,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 12:00 PM,2025,01,01,12,17.0,16,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 01:00 PM,2025,01,01,13,18.0,17,Good,21.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 02:00 PM,2025,01,01,14,18.0,17,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 03:00 PM,2025,01,01,15,17.0,16,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 04:00 PM,2025,01,01,16,19.0,18,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 05:00 PM,2025,01,01,17,17.0,16,Good,14.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 06:00 PM,2025,01,01,18,15.0,14,Good,9.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 07:00 PM,2025,01,01,19,14.0,13,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 08:00 PM,2025,01,01,20,15.0,14,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 09:00 PM,2025,01,01,21,15.0,14,Good,17.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 10:00 PM,2025,01,01,22,16.0,15,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-01 11:00 PM,2025,01,01,23,16.0,15,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 12:00 AM,2025,01,02,00,16.0,15,Good,19.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 01:00 AM,2025,01,02,01,17.0,16,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 02:00 AM,2025,01,02,02,18.0,17,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 03:00 AM,2025,01,02,03,19.0,18,Good,19.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 04:00 AM,2025,01,02,04,17.0,16,Good,15.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 05:00 AM,2025,01,02,05,15.0,14,Good,9.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 06:00 AM,2025,01,02,06,16.0,15,Good,10.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 07:00 AM,2025,01,02,07,14.0,13,Good,11.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 08:00 AM,2025,01,02,08,13.0,12,Good,13.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 09:00 AM,2025,01,02,09,14.0,13,Good,16.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 10:00 AM,2025,01,02,10,16.0,15,Good,19.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 11:00 AM,2025,01,02,11,19.0,18,Good,25.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 12:00 PM,2025,01,02,12,23.0,21,Good,31.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 01:00 PM,2025,01,02,13,25.0,23,Good,34.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 02:00 PM,2025,01,02,14,26.0,24,Good,35.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 03:00 PM,2025,01,02,15,25.0,23,Good,28.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 04:00 PM,2025,01,02,16,26.0,24,Good,26.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 05:00 PM,2025,01,02,17,24.0,22,Good,16.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 06:00 PM,2025,01,02,18,21.0,19,Good,12.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 07:00 PM,2025,01,02,19,20.0,19,Good,22.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 08:00 PM,2025,01,02,20,19.0,18,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 09:00 PM,2025,01,02,21,18.0,17,Good,17.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 10:00 PM,2025,01,02,22,17.0,16,Good,14.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-02 11:00 PM,2025,01,02,23,17.0,16,Good,13.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 12:00 AM,2025,01,03,00,14.0,13,Good,12.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 01:00 AM,2025,01,03,01,14.0,13,Good,12.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 02:00 AM,2025,01,03,02,14.0,13,Good,14.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 03:00 AM,2025,01,03,03,14.0,13,Good,15.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 04:00 AM,2025,01,03,04,14.0,13,Good,13.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 05:00 AM,2025,01,03,05,13.0,12,Good,11.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 06:00 AM,2025,01,03,06,12.0,11,Good,9.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 07:00 AM,2025,01,03,07,11.0,10,Good,12.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 08:00 AM,2025,01,03,08,13.0,12,Good,13.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 09:00 AM,2025,01,03,09,14.0,13,Good,14.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 10:00 AM,2025,01,03,10,15.0,14,Good,16.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 11:00 AM,2025,01,03,11,15.0,14,Good,17.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 12:00 PM,2025,01,03,12,18.0,17,Good,22.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 01:00 PM,2025,01,03,13,19.0,18,Good,23.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 02:00 PM,2025,01,03,14,20.0,19,Good,22.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 03:00 PM,2025,01,03,15,19.0,18,Good,20.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 04:00 PM,2025,01,03,16,18.0,17,Good,18.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 05:00 PM,2025,01,03,17,16.0,15,Good,11.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 06:00 PM,2025,01,03,18,14.0,13,Good,7.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 07:00 PM,2025,01,03,19,13.0,12,Good,12.0,PPB,1 Hr,Valid
Maputo,O3,2025-01-03 08:00 PM,2025,01,03,20,11.0,10,Good,11.0,PPB,1 Hr,Valid
