Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Doha,O3,2025-01-01 01:00 AM,2025,01,01,01,18.0,17,Good,24.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 02:00 AM,2025,01,01,02,24.0,22,Good,29.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 03:00 AM,2025,01,01,03,27.0,25,Good,34.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 04:00 AM,2025,01,01,04,28.0,26,Good,36.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 05:00 AM,2025,01,01,05,29.0,27,Good,36.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 06:00 AM,2025,01,01,06,31.0,29,Good,30.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 07:00 AM,2025,01,01,07,32.0,30,Good,27.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 08:00 AM,2025,01,01,08,32.0,30,Good,26.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 09:00 AM,2025,01,01,09,31.0,29,Good,27.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 10:00 AM,2025,01,01,10,31.0,29,Good,33.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 11:00 AM,2025,01,01,11,32.0,30,Good,36.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 12:00 PM,2025,01,01,12,32.0,30,Good,39.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 01:00 PM,2025,01,01,13,32.0,30,Good,39.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 02:00 PM,2025,01,01,14,31.0,29,Good,41.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 03:00 PM,2025,01,01,15,32.0,30,Good,42.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 04:00 PM,2025,01,01,16,33.0,31,Good,39.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 05:00 PM,2025,01,01,17,32.0,30,Good,36.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 06:00 PM,2025,01,01,18,36.0,33,Good,37.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 07:00 PM,2025,01,01,19,36.0,33,Good,34.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 08:00 PM,2025,01,01,20,38.0,35,Good,30.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 09:00 PM,2025,01,01,21,37.0,34,Good,30.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 10:00 PM,2025,01,01,22,34.0,31,Good,28.0,PPB,1 Hr,Valid
Doha,O3,2025-01-01 11:00 PM,2025,01,01,23,31.0,29,Good,26.0,PPB,1 Hr,Valid
Doha,O3,2025-01-02 12:00 AM,2025,01,02,00,29.0,27,Good,24.0,PPB,1 Hr,Valid
Doha,O3,2025-01-02 01:00 AM,2025,01,02,01,29.0,27,Good,28.0,PPB,1 Hr,Valid
