Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Addis Ababa Central,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,33.9,97,Moderate,28.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,25.9,80,Moderate,18.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,18.9,65,Moderate,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,13.9,55,Moderate,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,10.9,45,Good,8.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,9.9,41,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,9.9,41,Good,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,16.4,60,Moderate,23.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,12.7,52,Moderate,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,10.8,45,Good,9.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,13.4,54,Moderate,16.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,12.7,52,Moderate,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,14.8,57,Moderate,17.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,13.9,55,Moderate,13.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,12.9,53,Moderate,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,11.9,50,Good,11.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,13.4,54,Moderate,15.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,13.2,53,Moderate,13.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,14.6,56,Moderate,16.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,15.6,58,Moderate,17.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,13.9,55,Moderate,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,15.1,57,Moderate,17.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,13.0,53,Moderate,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,9.3,39,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,7.6,32,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,9.3,39,Good,11.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,10.1,42,Good,11.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 04:00 AM,2021,01,02,04,10.0,42,Good,10.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 05:00 AM,2021,01,02,05,8.0,33,Good,6.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 06:00 AM,2021,01,02,06,7.5,31,Good,7.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 07:00 AM,2021,01,02,07,9.7,40,Good,12.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 08:00 AM,2021,01,02,08,15.8,59,Moderate,22.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 09:00 AM,2021,01,02,09,23.4,75,Moderate,31.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 10:00 AM,2021,01,02,10,18.7,65,Moderate,14.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 11:00 AM,2021,01,02,11,18.3,64,Moderate,18.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 12:00 PM,2021,01,02,12,16.1,59,Moderate,14.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 01:00 PM,2021,01,02,13,16.0,59,Moderate,16.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 02:00 PM,2021,01,02,14,16.0,59,Moderate,16.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 03:00 PM,2021,01,02,15,17.5,62,Moderate,19.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 04:00 PM,2021,01,02,16,16.7,61,Moderate,16.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 05:00 PM,2021,01,02,17,13.8,55,Moderate,11.0,UG/M3,1 Hr,Valid
Addis Ababa Central,PM2.5 - Principal,2021-01-02 06:00 PM,2021,01,02,18,11.4,48,Good,9.0,UG/M3,1 Hr,Valid
