Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 01:00 AM,2018,01,01,01,127.2,188,Unhealthy,131.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 02:00 AM,2018,01,01,02,106.1,177,Unhealthy,85.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 03:00 AM,2018,01,01,03,90.0,169,Unhealthy,74.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 04:00 AM,2018,01,01,04,84.5,166,Unhealthy,79.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 05:00 AM,2018,01,01,05,84.7,166,Unhealthy,85.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 06:00 AM,2018,01,01,06,85.3,166,Unhealthy,86.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 07:00 AM,2018,01,01,07,92.2,170,Unhealthy,99.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 08:00 AM,2018,01,01,08,111.6,180,Unhealthy,131.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 09:00 AM,2018,01,01,09,130.3,190,Unhealthy,149.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 10:00 AM,2018,01,01,10,139.6,194,Unhealthy,149.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 11:00 AM,2018,01,01,11,131.8,190,Unhealthy,124.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 12:00 PM,2018,01,01,12,89.9,169,Unhealthy,48.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 01:00 PM,2018,01,01,13,56.4,151,Unhealthy,23.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 02:00 PM,2018,01,01,14,36.7,104,Unhealthy for Sensitive Groups,17.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 03:00 PM,2018,01,01,15,31.8,92,Moderate,27.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 04:00 PM,2018,01,01,16,33.9,97,Moderate,36.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 05:00 PM,2018,01,01,17,34.9,99,Moderate,36.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 06:00 PM,2018,01,01,18,43.9,122,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 07:00 PM,2018,01,01,19,76.4,162,Unhealthy,109.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 08:00 PM,2018,01,01,20,79.7,163,Unhealthy,83.0,UG/M3,1 Hr,Valid
Embassy Kathmandu,PM2.5 - Principal,2018-01-01 09:00 PM,2018,01,01,21,72.8,160,Unhealthy,66.0,UG/M3,1 Hr,Valid
