Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kampala,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,203.4,253,Very Unhealthy,200.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,160.2,211,Very Unhealthy,117.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,101.1,175,Unhealthy,42.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,68.0,157,Unhealthy,35.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,63.0,155,Unhealthy,58.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,53.5,145,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,58.7,153,Unhealthy,64.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,50.8,139,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,46.4,128,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,47.2,130,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,48.0,132,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,44.5,123,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,40.2,113,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,35.6,101,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,34.3,98,Moderate,33.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,33.6,96,Moderate,33.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,31.8,92,Moderate,30.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,34.9,99,Moderate,38.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,37.1,105,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,52.9,144,Unhealthy for Sensitive Groups,68.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,69.9,158,Unhealthy,87.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,92.5,170,Unhealthy,115.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,144.7,197,Unhealthy,197.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,140.8,195,Unhealthy,137.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,130.4,190,Unhealthy,120.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,123.7,186,Unhealthy,117.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,109.3,179,Unhealthy,95.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,103.1,176,Unhealthy,97.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 05:00 AM,2020,01,02,05,94.6,171,Unhealthy,86.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 06:00 AM,2020,01,02,06,86.8,167,Unhealthy,79.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 07:00 AM,2020,01,02,07,87.4,167,Unhealthy,88.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 08:00 AM,2020,01,02,08,101.7,175,Unhealthy,116.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 09:00 AM,2020,01,02,09,91.8,170,Unhealthy,82.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 10:00 AM,2020,01,02,10,71.9,159,Unhealthy,52.0,UG/M3,1 Hr,Valid
Kampala,PM2.5 - Principal,2020-01-02 11:00 AM,2020,01,02,11,58.4,152,Unhealthy,45.0,UG/M3,1 Hr,Valid
