Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Mumbai,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,105.0,177,Unhealthy,122.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,109.5,179,Unhealthy,115.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,124.5,187,Unhealthy,138.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,124.2,186,Unhealthy,124.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,119.1,184,Unhealthy,114.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,116.5,182,Unhealthy,114.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,114.7,182,Unhealthy,113.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,120.9,185,Unhealthy,127.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,121.9,185,Unhealthy,125.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,113.8,181,Unhealthy,99.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,98.8,173,Unhealthy,80.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,87.8,168,Unhealthy,76.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,95.1,171,Unhealthy,104.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,96.8,172,Unhealthy,99.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,98.1,173,Unhealthy,100.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,93.6,171,Unhealthy,87.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 06:00 PM,2024,01,01,18,91.7,170,Unhealthy,89.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 07:00 PM,2024,01,01,19,87.0,167,Unhealthy,80.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 08:00 PM,2024,01,01,20,90.6,169,Unhealthy,96.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 09:00 PM,2024,01,01,21,91.5,170,Unhealthy,93.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 10:00 PM,2024,01,01,22,92.5,170,Unhealthy,96.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-01 11:00 PM,2024,01,01,23,95.1,171,Unhealthy,102.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 12:00 AM,2024,01,02,00,98.4,173,Unhealthy,106.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 01:00 AM,2024,01,02,01,101.2,175,Unhealthy,109.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 02:00 AM,2024,01,02,02,103.0,176,Unhealthy,108.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 03:00 AM,2024,01,02,03,107.7,178,Unhealthy,116.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 04:00 AM,2024,01,02,04,111.8,180,Unhealthy,119.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 05:00 AM,2024,01,02,05,115.1,182,Unhealthy,121.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 06:00 AM,2024,01,02,06,120.0,184,Unhealthy,127.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 07:00 AM,2024,01,02,07,137.4,193,Unhealthy,160.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 08:00 AM,2024,01,02,08,144.0,197,Unhealthy,153.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 09:00 AM,2024,01,02,09,145.9,198,Unhealthy,150.0,UG/M3,1 Hr,Valid
Mumbai,PM2.5 - Principal,2024-01-02 10:00 AM,2024,01,02,10,137.5,193,Unhealthy,125.0,UG/M3,1 Hr,Valid
