Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Accra,PM2.5 - Principal,2024-01-01 01:00 AM,2024,01,01,01,51.8,141,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 02:00 AM,2024,01,01,02,52.6,143,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 03:00 AM,2024,01,01,03,80.7,164,Unhealthy,107.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 04:00 AM,2024,01,01,04,94.3,171,Unhealthy,108.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 05:00 AM,2024,01,01,05,87.6,168,Unhealthy,81.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 06:00 AM,2024,01,01,06,76.3,162,Unhealthy,65.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 07:00 AM,2024,01,01,07,76.6,162,Unhealthy,77.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 08:00 AM,2024,01,01,08,70.8,159,Unhealthy,65.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 09:00 AM,2024,01,01,09,63.4,155,Unhealthy,56.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 10:00 AM,2024,01,01,10,56.7,152,Unhealthy,50.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 11:00 AM,2024,01,01,11,56.8,152,Unhealthy,57.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 12:00 PM,2024,01,01,12,53.9,146,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 01:00 PM,2024,01,01,13,49.4,135,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 02:00 PM,2024,01,01,14,49.2,135,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 03:00 PM,2024,01,01,15,49.6,136,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 04:00 PM,2024,01,01,16,45.9,127,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 05:00 PM,2024,01,01,17,45.2,125,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 06:00 PM,2024,01,01,18,44.6,123,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 07:00 PM,2024,01,01,19,44.1,122,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 08:00 PM,2024,01,01,20,44.8,124,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Accra,PM2.5 - Principal,2024-01-01 09:00 PM,2024,01,01,21,42.7,119,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
