Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Karachi,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,82.6,165,Unhealthy,91.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,86.3,167,Unhealthy,90.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,88.1,168,Unhealthy,90.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,84.0,166,Unhealthy,80.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,101.0,174,Unhealthy,118.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,109.8,179,Unhealthy,119.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,126.5,188,Unhealthy,143.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,152.2,203,Very Unhealthy,178.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,173.1,223,Very Unhealthy,194.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,159.0,209,Very Unhealthy,145.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,140.0,195,Unhealthy,121.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,121.5,185,Unhealthy,103.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,79.2,163,Unhealthy,37.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,52.6,143,Unhealthy for Sensitive Groups,26.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,36.3,103,Unhealthy for Sensitive Groups,20.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,31.1,91,Moderate,26.0,UG/M3,1 Hr,Valid
Karachi,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,28.5,85,Moderate,26.0,UG/M3,1 Hr,Valid
